"filename", "language", "SQL", "PHP", "CSS", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Apache24\ISTA-PROJET\README.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 8, 20
"c:\Apache24\ISTA-PROJET\api\articles_A.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Apache24\ISTA-PROJET\api\authentication.php", "PHP", 0, 22, 0, 0, 0, 0, 2, 5, 29
"c:\Apache24\ISTA-PROJET\api\class_A.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Apache24\ISTA-PROJET\api\header.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Apache24\ISTA-PROJET\api\logout.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Apache24\ISTA-PROJET\api\test.php", "PHP", 0, 8, 0, 0, 0, 0, 4, 3, 15
"c:\Apache24\ISTA-PROJET\classes\Dbc.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Apache24\ISTA-PROJET\classes\Student.php", "PHP", 0, 137, 0, 0, 0, 0, 0, 13, 150
"c:\Apache24\ISTA-PROJET\classes\User.php", "PHP", 0, 28, 0, 0, 0, 0, 3, 2, 33
"c:\Apache24\ISTA-PROJET\config.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Apache24\ISTA-PROJET\controllers\login.contr.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 17, 69
"c:\Apache24\ISTA-PROJET\general_db_files\dummyDataForTesting.sql", "SQL", 42, 0, 0, 0, 0, 0, 0, 13, 55
"c:\Apache24\ISTA-PROJET\general_db_files\queries.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Apache24\ISTA-PROJET\general_db_files\schema.sql", "SQL", 228, 0, 0, 0, 0, 0, 62, 39, 329
"c:\Apache24\ISTA-PROJET\general_db_files\shema2.sql", "SQL", 282, 0, 0, 0, 0, 0, 67, 43, 392
"c:\Apache24\ISTA-PROJET\index.php", "PHP", 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Apache24\ISTA-PROJET\logic_php_layer\feed-page-logic.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Apache24\ISTA-PROJET\logic_php_layer\index-page-logic.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Apache24\ISTA-PROJET\logic_php_layer\login-page-logic.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Apache24\ISTA-PROJET\page\CVs.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Apache24\ISTA-PROJET\page\about.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Apache24\ISTA-PROJET\page\article.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Apache24\ISTA-PROJET\page\class.php", "PHP", 0, 77, 0, 0, 0, 0, 0, 3, 80
"c:\Apache24\ISTA-PROJET\page\class_t.php", "PHP", 0, 77, 0, 0, 0, 0, 0, 3, 80
"c:\Apache24\ISTA-PROJET\page\feed.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Apache24\ISTA-PROJET\page\login.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\Apache24\ISTA-PROJET\page\newsLetter.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Apache24\ISTA-PROJET\page\notes.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 2, 38
"c:\Apache24\ISTA-PROJET\page\notes_t.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\Apache24\ISTA-PROJET\page\profile.php", "PHP", 0, 62, 0, 0, 0, 0, 0, 5, 67
"c:\Apache24\ISTA-PROJET\page\test_page.php", "PHP", 0, 47, 0, 0, 0, 0, 3, 7, 57
"c:\Apache24\ISTA-PROJET\page\unauthorized.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Apache24\ISTA-PROJET\page\updates.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Apache24\ISTA-PROJET\page_components\feed_left_side_student.php", "PHP", 0, 91, 0, 0, 0, 0, 1, 23, 115
"c:\Apache24\ISTA-PROJET\page_components\feed_left_side_teacher.php", "PHP", 0, 91, 0, 0, 0, 0, 1, 23, 115
"c:\Apache24\ISTA-PROJET\page_components\header_public.php", "PHP", 0, 78, 0, 0, 0, 0, 1, 1, 80
"c:\Apache24\ISTA-PROJET\page_components\header_student.php", "PHP", 0, 203, 0, 0, 0, 0, 7, 18, 228
"c:\Apache24\ISTA-PROJET\page_components\header_teacher.php", "PHP", 0, 201, 0, 0, 0, 0, 6, 15, 222
"c:\Apache24\ISTA-PROJET\page_components\slideshow.php", "PHP", 0, 26, 0, 0, 0, 0, 1, 3, 30
"c:\Apache24\ISTA-PROJET\routes\Router.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Apache24\ISTA-PROJET\scripts\class_page.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 9, 45
"c:\Apache24\ISTA-PROJET\scripts\feed_page.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 12, 45
"c:\Apache24\ISTA-PROJET\scripts\header_student_C.js", "JavaScript", 0, 0, 0, 73, 0, 0, 4, 10, 87
"c:\Apache24\ISTA-PROJET\scripts\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Apache24\ISTA-PROJET\scripts\left_side_feed_C.js", "JavaScript", 0, 0, 0, 71, 0, 0, 24, 5, 100
"c:\Apache24\ISTA-PROJET\scripts\login_page.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Apache24\ISTA-PROJET\scripts\notes-page.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Apache24\ISTA-PROJET\scripts\slideshow_C.js", "JavaScript", 0, 0, 0, 23, 0, 0, 4, 3, 30
"c:\Apache24\ISTA-PROJET\styles\class-page.css", "CSS", 0, 0, 78, 0, 0, 0, 5, 4, 87
"c:\Apache24\ISTA-PROJET\styles\feed-page.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Apache24\ISTA-PROJET\styles\index.css", "CSS", 0, 0, 268, 0, 0, 0, 16, 10, 294
"c:\Apache24\ISTA-PROJET\styles\login-page.css", "CSS", 0, 0, 53, 0, 0, 0, 22, 6, 81
"c:\Apache24\ISTA-PROJET\styles\notes.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 25
"c:\Apache24\ISTA-PROJET\styles\profile-page.css", "CSS", 0, 0, 69, 0, 0, 0, 4, 2, 75
"c:\Apache24\ISTA-PROJET\styles\root_styles.css", "CSS", 0, 0, 88, 0, 0, 0, 14, 14, 116
"c:\Apache24\ISTA-PROJET\styles\slideshow_public.css", "CSS", 0, 0, 4, 0, 0, 0, 2, 2, 8
"c:\Apache24\ISTA-PROJET\styles\updates-page.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Apache24\ISTA-PROJET\usefulFunctions.php", "PHP", 0, 65, 0, 0, 0, 0, 2, 10, 77
"c:\Apache24\ISTA-PROJET\z_general_db_files\dummyDataForTesting.sql", "SQL", 72, 0, 0, 0, 0, 0, 0, 18, 90
"c:\Apache24\ISTA-PROJET\z_general_db_files\queries.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Apache24\ISTA-PROJET\z_general_db_files\schema.sql", "SQL", 277, 0, 0, 0, 0, 0, 64, 41, 382
"c:\Apache24\ISTA-PROJET\z_general_db_files\schema_new.sql", "SQL", 277, 0, 0, 0, 0, 0, 67, 43, 387
"Total", "-", 1178, 1752, 606, 277, 12, 6, 386, 499, 4716
